impl,n,P,time_s,speedup,efficiency
pthreads,400000,5,0.009187133333701544,3.392716752258785,0.6785433504517571
pthreads,400000,6,0.009027899499718236,3.4525573936060243,0.5754262322676708
pthreads,400000,7,0.011193512833112132,2.784589755798611,0.3977985365426587
pthreads,400000,8,0.011188647833478171,2.7858005391161584,0.3482250673895198
pthreads,400000,9,0.011412646666940418,2.7311229442311666,0.3034581049145741
pthreads,400000,10,0.011158711666818514,2.7932741787001554,0.2793274178700155
pthreads,400000,11,0.011257576333264296,2.7687434882750046,0.2517039534795459
pthreads,400000,12,0.010625007499584171,2.933582980313585,0.2444652483594654
pthreads,800000,1,0.049164692999814484,1.216364061654579,1.216364061654579
pthreads,800000,2,0.027005780166897846,2.214420960908098,1.107210480454049
pthreads,800000,3,0.01997529483348141,2.993806407654015,0.997935469218005
pthreads,800000,4,0.017552847999771377,3.4069779256354127,0.8517444814088532
pthreads,800000,5,0.017064399999981106,3.5044985857880153,0.700899717157603
pthreads,800000,6,0.017296450333560642,3.457481998558946,0.5762469997598243
pthreads,800000,7,0.02059373766648302,2.90390052722604,0.41484293246086285
pthreads,800000,8,0.020988434833573894,2.8492913426585287,0.3561614178323161
pthreads,800000,9,0.021097944500373462,2.8345019898121455,0.3149446655346828
pthreads,800000,10,0.021433444666096573,2.790133205319529,0.2790133205319529
pthreads,800000,11,0.020506908833037112,2.916196007606573,0.2651087279642339
pthreads,800000,12,0.02045731433311933,2.9232657177505548,0.2436054764792129
pthreads,1600000,1,0.09726515333356171,1.2132387871910537,1.2132387871910537
pthreads,1600000,2,0.05214275500020449,2.263130451505669,1.1315652257528346
pthreads,1600000,3,0.038421064333912604,3.071384375008155,1.023794791669385
pthreads,1600000,4,0.03313610249976288,3.561247333394346,0.8903118333485865
pthreads,1600000,5,0.03176157033400765,3.7153659414632725,0.7430731882926545
pthreads,1600000,6,0.029849030499766133,3.953423434214617,0.6589039057024362
pthreads,1600000,7,0.04075617183358796,2.8954107159080955,0.41363010227258507
pthreads,1600000,8,0.04030981399985952,2.927472120480971,0.36593401506012135
pthreads,1600000,9,0.03968376549983077,2.973655729995318,0.330406192221702
pthreads,1600000,10,0.03852520016638058,3.063082246340704,0.30630822463407037
pthreads,1600000,11,0.037718426166975405,3.128599696709589,0.28441815424632627
pthreads,1600000,12,0.03810372833322617,3.0969635211119755,0.258080293425998
pthreads,3200000,1,0.19116951050000353,1.2369036710653583,1.2369036710653583
pthreads,3200000,2,0.10121287383359838,2.3362469652030353,1.1681234826015177
pthreads,3200000,3,0.07448000316677887,3.174788658423312,1.0582628861411039
pthreads,3200000,4,0.06428874049985704,3.6780666022497006,0.9195166505624252
pthreads,3200000,5,0.06143947900030374,3.8486372798189405,0.7697274559637881
pthreads,3200000,6,0.05958388350033298,3.9684937510308553,0.6614156251718092
pthreads,3200000,7,0.07880848900034228,3.000416228411573,0.4286308897730819
pthreads,3200000,8,0.0778008248335027,3.0392771521285713,0.3799096440160714
pthreads,3200000,9,0.08391788916651421,2.817733759532836,0.31308152883698176
pthreads,3200000,10,0.07684992799992567,3.0768834205472597,0.30768834205472595
pthreads,3200000,11,0.07521851216642972,3.143618007360083,0.285783455214553
pthreads,3200000,12,0.07072298266605988,3.343443113106976,0.27862025942558133
pthreads,6400000,1,0.3861839731665289,1.2169146628393683,1.2169146628393683
pthreads,6400000,2,0.20452020600017326,2.297831342393211,1.1489156711966055
pthreads,6400000,3,0.14994697933373877,3.134127420159191,1.0447091400530637
pthreads,6400000,4,0.13101202000022263,3.5870978823096964,0.8967744705774241
pthreads,6400000,5,0.12408134883359405,3.7874583401746365,0.7574916680349273
pthreads,6400000,6,0.11765540233318461,3.994316709479003,0.6657194515798338
pthreads,6400000,7,0.1476849336665206,3.182131906299187,0.4545902723284553
pthreads,6400000,8,0.15754016483333544,2.9830674609048797,0.37288343261310997
pthreads,6400000,9,0.14591472150004847,3.22073698026253,0.35785966447361445
pthreads,6400000,10,0.1504478806661306,3.1236926530246016,0.3123692653024602
pthreads,6400000,11,0.13962703816681218,3.3657731745227037,0.305979379502064
pthreads,6400000,12,0.14679302249987813,3.201466469568091,0.26678887246400756
pthreads,12800000,1,0.7673389081670999,1.2238203043940854,1.2238203043940854
