N,P,I,time,speedup,efficiency
128,4,90,0.007058739499999999,1.1375964858881675,0.2843991214720419
128,5,90,0.007854581,1.0223329863171569,0.20446659726343136
128,6,90,0.0085672735,0.9372873703635118,0.15621456172725198
128,7,90,0.01055348,0.7608861958330333,0.10869802797614761
128,8,90,0.01070958225,0.7497955627540934,0.09372444534426168
128,9,90,0.0114085075,0.7038604523860812,0.0782067169317868
128,10,90,0.012533965000000001,0.6406589814156972,0.06406589814156972
128,11,90,0.0131924725,0.6086802341259382,0.055334566738721655
128,12,90,0.0134804825,0.595675803889067,0.04963965032408892
128,1,110,0.0097081065,1.0,1.0
128,2,110,0.0077248214999999995,1.256741854811791,0.6283709274058955
128,3,110,0.00770175425,1.2605058776057416,0.42016862586858056
128,4,110,0.0081759095,1.1874038600843124,0.2968509650210781
128,5,110,0.008695483,1.1164539681119496,0.22329079362238993
128,6,110,0.0101774905,0.9538801829390064,0.15898003048983442
128,7,110,0.0112102625,0.8660017104862621,0.123714530069466
128,8,110,0.0124907525,0.777223509952663,0.09715293874408287
128,9,110,0.01398355,0.6942519245828134,0.07713910273142371
128,10,110,0.01447004,0.6709108267841692,0.06709108267841693
128,11,110,0.0152217725,0.6377776635408262,0.057979787594620566
128,12,110,0.01660329,0.584709807514053,0.04872581729283775
128,1,130,0.011332512500000001,1.0,1.0
128,2,130,0.00947183375,1.1964433497367921,0.5982216748683961
128,3,130,0.008787453,1.2896242517598673,0.42987475058662244
128,4,130,0.0093919635,1.2066180304043985,0.30165450760109963
128,5,130,0.010680975,1.060999815091787,0.2121999630183574
128,6,130,0.0121720425,0.9310280094733485,0.15517133491222476
128,7,130,0.013716575,0.8261911227839311,0.11802730325484731
128,8,130,0.01440227,0.7868559956173576,0.0983569994521697
128,9,130,0.015752075,0.7194298211505469,0.07993664679450521
128,10,130,0.01689428,0.670789906406192,0.0670789906406192
128,11,130,0.0187248625,0.6052120542941236,0.05501927766310215
128,12,130,0.0193675125,0.5851299953982217,0.04876083294985181
128,1,150,0.01336378,1.0,1.0
128,2,150,0.0104970325,1.2731007549038265,0.6365503774519132
128,3,150,0.009997724999999999,1.336682095176653,0.4455606983922176
128,4,150,0.010707735,1.2480491906084714,0.31201229765211785
