size,N,threads,iterations,time,speedup,efficiency
256x256,256,4,90,0.013116835,2.2454107641058227,0.5613526910264557
256x256,256,5,90,0.013009844999999999,2.263876510442669,0.4527753020885338
256x256,256,6,90,0.0130694525,2.253551363379606,0.37559189389660097
256x256,256,7,90,0.01568246,1.8780652078819269,0.26829502969741814
256x256,256,8,90,0.016565622500000002,1.7779399778064482,0.22224249722580602
256x256,256,9,90,0.017446694999999998,1.6881525412119605,0.1875725045791067
256x256,256,10,90,0.0173645625,1.6961373199008039,0.1696137319900804
256x256,256,11,90,0.017773030000000002,1.6571559548371886,0.15065054134883532
256x256,256,12,90,0.0181625475,1.6216162683125812,0.13513468902604844
128x128,128,1,110,0.00968414525,1.0,1.0
128x128,128,2,110,0.0076703432499999995,1.2625439220076624,0.6312719610038312
128x128,128,3,110,0.00772219875,1.2540657866388119,0.41802192887960393
128x128,128,4,110,0.00825673325,1.1728785412802332,0.2932196353200583
128x128,128,5,110,0.0091175435,1.0621441235789004,0.2124288247157801
128x128,128,6,110,0.0103952275,0.9315953162160232,0.15526588603600386
128x128,128,7,110,0.012398062500000001,0.7811015027549667,0.11158592896499524
128x128,128,8,110,0.012283265,0.7884015569150384,0.0985501946143798
128x128,128,9,110,0.0138655275,0.6984332366727483,0.0776036929636387
128x128,128,10,110,0.01472348,0.6577348052226782,0.06577348052226782
128x128,128,11,110,0.01573521,0.6154442965807256,0.055949481507338694
128x128,128,12,110,0.01764792,0.5487414522504634,0.045728454354205285
192x192,192,1,110,0.02167976,1.0,1.0
192x192,192,2,110,0.01423073,1.5234467943668384,0.7617233971834192
192x192,192,3,110,0.01207453,1.7954951455667425,0.5984983818555808
192x192,192,4,110,0.011416195,1.8990355367966296,0.4747588841991574
192x192,192,5,110,0.011974572499999999,1.8104830047168698,0.362096600943374
192x192,192,6,110,0.0130470425,1.6616608706532534,0.2769434784422089
192x192,192,7,110,0.016019285,1.3533537857650948,0.19333625510929925
192x192,192,8,110,0.0168644775,1.2855281167175205,0.16069101458969007
192x192,192,9,110,0.0166802975,1.299722621853717,0.144413624650413
192x192,192,10,110,0.017140745,1.2648085016141364,0.12648085016141364
192x192,192,11,110,0.0176244975,1.230092375683335,0.11182657960757592
192x192,192,12,110,0.02007246,1.0800748886783185,0.0900062407231932
256x256,256,1,110,0.0381674775,1.0,1.0
256x256,256,2,110,0.023060262499999998,1.6551189519199967,0.8275594759599983
256x256,256,3,110,0.022768795,1.6763064316754575,0.5587688105584858
256x256,256,4,110,0.0162297475,2.3516987864413785,0.5879246966103446
256x256,256,5,110,0.016716955,2.2831596723207066,0.4566319344641413
256x256,256,6,110,0.0171382425,2.2270356776664815,0.37117261294441356
256x256,256,7,110,0.018838225,2.026065486530711,0.2894379266472444
256x256,256,8,110,0.02007073,1.9016486943922817,0.2377060867990352
256x256,256,9,110,0.0207253125,1.8415875514542905,0.20462083905047673
256x256,256,10,110,0.021100225,1.808865900719068,0.1808865900719068
256x256,256,11,110,0.021319209999999998,1.7902857329141184,0.16275324844673802
256x256,256,12,110,0.0212262275,1.7981281647904697,0.14984401373253914
128x128,128,1,130,0.01161307,1.0,1.0
128x128,128,2,130,0.00905162075,1.2829823874359738,0.6414911937179869
128x128,128,3,130,0.00850576175,1.3653180445596187,0.45510601485320623
128x128,128,4,130,0.0094435215,1.2297393509402186,0.30743483773505464
128x128,128,5,130,0.0103274575,1.1244848986306648,0.22489697972613296
