k,r,b,t,r_frac,b_frac,t_frac
31400,8992,12533,9875,0.28636943,0.39914013,0.31449045
31500,9025,12567,9908,0.28650794,0.39895238,0.31453968
31600,9053,12599,9948,0.28648734,0.39870253,0.31481013
31700,9084,12638,9978,0.28656151,0.39867508,0.31476341
31800,9109,12686,10005,0.28644654,0.39893082,0.31462264
31900,9140,12727,10033,0.28652038,0.39896552,0.31451411
32000,9174,12764,10062,0.28668750,0.39887500,0.31443750
32100,9199,12809,10092,0.28657321,0.39903427,0.31439252
32200,9231,12855,10114,0.28667702,0.39922360,0.31409938
32300,9260,12890,10150,0.28668731,0.39907121,0.31424149
32400,9283,12932,10185,0.28651235,0.39913580,0.31435185
32500,9313,12969,10218,0.28655385,0.39904615,0.31440000
32600,9352,13000,10248,0.28687117,0.39877301,0.31435583
32700,9382,13037,10281,0.28691131,0.39868502,0.31440367
32800,9414,13087,10299,0.28701220,0.39899390,0.31399390
32900,9439,13131,10330,0.28689970,0.39911854,0.31398176
33000,9465,13172,10363,0.28681818,0.39915152,0.31403030
33100,9493,13212,10395,0.28679758,0.39915408,0.31404834
33200,9530,13240,10430,0.28704819,0.39879518,0.31415663
33300,9555,13276,10469,0.28693694,0.39867868,0.31438438
33400,9583,13323,10494,0.28691617,0.39889222,0.31419162
33500,9611,13364,10525,0.28689552,0.39892537,0.31417910
33600,9642,13405,10553,0.28696429,0.39895833,0.31407738
33700,9673,13438,10589,0.28703264,0.39875371,0.31421365
33800,9706,13469,10625,0.28715976,0.39849112,0.31434911
33900,9732,13514,10654,0.28707965,0.39864307,0.31427729
34000,9760,13554,10686,0.28705882,0.39864706,0.31429412
34100,9779,13602,10719,0.28677419,0.39888563,0.31434018
34200,9807,13639,10754,0.28675439,0.39880117,0.31444444
34300,9838,13681,10781,0.28682216,0.39886297,0.31431487
34400,9868,13721,10811,0.28686047,0.39886628,0.31427326
34500,9896,13764,10840,0.28684058,0.39895652,0.31420290
34600,9919,13801,10880,0.28667630,0.39887283,0.31445087
